EmployeeID,Name,MobileNumber,EMail,TokenID
S0001,Peter Lim,99490364,S0001@msba.com.sg,1245
S0002,Ali,89839169,S0002@msba.com.sg,5451
S0003,Staff with ID S0003,91554811,S0003@msba.com.sg,5366
S0004,Staff with ID S0004,99822460,S0004@msba.com.sg,3282
S0005,Staff with ID S0005,87222639,S0005@msba.com.sg,1017
S0006,Staff with ID S0006,91402178,S0006@msba.com.sg,4791
S0007,Staff with ID S0007,99226504,S0007@msba.com.sg,2078
S0008,Staff with ID S0008,94645354,S0008@msba.com.sg,2787
S0009,Staff with ID S0009,89670046,S0009@msba.com.sg,3957
S0010,Staff with ID S0010,83212699,S0010@msba.com.sg,3453
S0011,Staff with ID S0011,84087047,S0011@msba.com.sg,1872
S0012,Staff with ID S0012,85080238,S0012@msba.com.sg,2392
S0013,Staff with ID S0013,88060544,S0013@msba.com.sg,4336
S0014,Staff with ID S0014,87040625,S0014@msba.com.sg,1831
S0015,Staff with ID S0015,86762904,S0015@msba.com.sg,3151
S0016,Staff with ID S0016,98584806,S0016@msba.com.sg,2844
S0017,Staff with ID S0017,92370023,S0017@msba.com.sg,5382
S0018,Staff with ID S0018,82330869,S0018@msba.com.sg,4500
S0019,Staff with ID S0019,96711532,S0019@msba.com.sg,3591
S0020,Staff with ID S0020,95918107,S0020@msba.com.sg,2668
S0021,Staff with ID S0021,91148395,S0021@msba.com.sg,5055
S0022,Staff with ID S0022,92292709,S0022@msba.com.sg,1858
S0023,Staff with ID S0023,91226131,S0023@msba.com.sg,2085
S0024,Staff with ID S0024,89803358,S0024@msba.com.sg,2935
S0025,Staff with ID S0025,84174714,S0025@msba.com.sg,1703
S0026,Staff with ID S0026,87108502,S0026@msba.com.sg,3047
S0027,Staff with ID S0027,97741994,S0027@msba.com.sg,1125
S0028,Staff with ID S0028,94734714,S0028@msba.com.sg,1820
S0029,Staff with ID S0029,93291326,S0029@msba.com.sg,2390
S0030,Staff with ID S0030,92460102,S0030@msba.com.sg,3663
S0031,Staff with ID S0031,87726400,S0031@msba.com.sg,5068
S0032,Staff with ID S0032,94444056,S0032@msba.com.sg,5143
S0033,Staff with ID S0033,99139555,S0033@msba.com.sg,3046
S0034,Staff with ID S0034,92878584,S0034@msba.com.sg,5078
S0035,Staff with ID S0035,81717692,S0035@msba.com.sg,4003
S0036,Staff with ID S0036,97082604,S0036@msba.com.sg,2469
S0037,Staff with ID S0037,92078749,S0037@msba.com.sg,3579
S0038,Staff with ID S0038,94829740,S0038@msba.com.sg,3183
S0039,Staff with ID S0039,89666047,S0039@msba.com.sg,3666
S0040,Staff with ID S0040,85494680,S0040@msba.com.sg,4660
S0041,Staff with ID S0041,92893359,S0041@msba.com.sg,2794
S0042,Staff with ID S0042,98831309,S0042@msba.com.sg,2082
S0043,Staff with ID S0043,92210955,S0043@msba.com.sg,5148
S0044,Staff with ID S0044,99880516,S0044@msba.com.sg,1598
S0045,Staff with ID S0045,97535247,S0045@msba.com.sg,2976
S0046,Staff with ID S0046,87128762,S0046@msba.com.sg,2845
S0047,Staff with ID S0047,87551767,S0047@msba.com.sg,2575
S0048,Staff with ID S0048,92640110,S0048@msba.com.sg,5331
S0049,Staff with ID S0049,94913281,S0049@msba.com.sg,2381
S0050,Staff with ID S0050,95636871,S0050@msba.com.sg,4978
S0051,Staff with ID S0051,99960268,S0051@msba.com.sg,4604
S0052,Staff with ID S0052,94002791,S0052@msba.com.sg,4211
S0053,Staff with ID S0053,95297136,S0053@msba.com.sg,1357
S0054,Staff with ID S0054,85065081,S0054@msba.com.sg,3832
S0055,Staff with ID S0055,86228353,S0055@msba.com.sg,4434
S0056,Staff with ID S0056,94137372,S0056@msba.com.sg,4881
S0057,Staff with ID S0057,84219947,S0057@msba.com.sg,1055
S0058,Staff with ID S0058,88889414,S0058@msba.com.sg,1194
S0059,Staff with ID S0059,99551572,S0059@msba.com.sg,3467
S0060,Staff with ID S0060,86918591,S0060@msba.com.sg,4069
S0061,Staff with ID S0061,86572739,S0061@msba.com.sg,2145
S0062,Staff with ID S0062,87859232,S0062@msba.com.sg,3986
S0063,Staff with ID S0063,89259329,S0063@msba.com.sg,2942
S0064,Staff with ID S0064,94505154,S0064@msba.com.sg,4173
S0065,Staff with ID S0065,99303281,S0065@msba.com.sg,5259
S0066,Staff with ID S0066,85872431,S0066@msba.com.sg,1948
S0067,Staff with ID S0067,81385573,S0067@msba.com.sg,1516
S0068,Staff with ID S0068,84679656,S0068@msba.com.sg,4329
S0069,Staff with ID S0069,87092155,S0069@msba.com.sg,4689
S0070,Staff with ID S0070,94755909,S0070@msba.com.sg,5473
S0071,Staff with ID S0071,91318710,S0071@msba.com.sg,4489
S0072,Staff with ID S0072,83866535,S0072@msba.com.sg,4240
S0073,Staff with ID S0073,98694370,S0073@msba.com.sg,4780
S0074,Staff with ID S0074,97759521,S0074@msba.com.sg,5332
S0075,Staff with ID S0075,91122856,S0075@msba.com.sg,4632
S0076,Staff with ID S0076,89071394,S0076@msba.com.sg,3314
S0077,Staff with ID S0077,98957411,S0077@msba.com.sg,4050
S0078,Staff with ID S0078,98745219,S0078@msba.com.sg,1837
S0079,Staff with ID S0079,99074155,S0079@msba.com.sg,3883
S0080,Staff with ID S0080,86240140,S0080@msba.com.sg,3313
S0081,Staff with ID S0081,83994529,S0081@msba.com.sg,3901
S0082,Staff with ID S0082,83295893,S0082@msba.com.sg,1667
S0083,Staff with ID S0083,96702266,S0083@msba.com.sg,3261
S0084,Staff with ID S0084,92574282,S0084@msba.com.sg,5437
S0085,Staff with ID S0085,88199529,S0085@msba.com.sg,2142
S0086,Staff with ID S0086,81395864,S0086@msba.com.sg,1679
S0087,Staff with ID S0087,98127107,S0087@msba.com.sg,4394
S0088,Staff with ID S0088,89941334,S0088@msba.com.sg,4948
S0089,Staff with ID S0089,85900635,S0089@msba.com.sg,2766
S0090,Staff with ID S0090,89899873,S0090@msba.com.sg,4170
S0091,Staff with ID S0091,81386673,S0091@msba.com.sg,2993
S0092,Staff with ID S0092,88319995,S0092@msba.com.sg,2488
S0093,Staff with ID S0093,83470344,S0093@msba.com.sg,1738
S0094,Staff with ID S0094,87884147,S0094@msba.com.sg,3006
S0095,Staff with ID S0095,85166264,S0095@msba.com.sg,5245
S0096,Staff with ID S0096,94928563,S0096@msba.com.sg,1465
S0097,Staff with ID S0097,81456243,S0097@msba.com.sg,3941
S0098,Staff with ID S0098,87009525,S0098@msba.com.sg,2179
S0099,Staff with ID S0099,97577325,S0099@msba.com.sg,4057
S0100,Staff with ID S0100,98823407,S0100@msba.com.sg,4267
S0101,Staff with ID S0101,86486750,S0101@msba.com.sg,1591
S0102,Staff with ID S0102,94427474,S0102@msba.com.sg,2507
S0103,Staff with ID S0103,99568083,S0103@msba.com.sg,4131
S0104,Staff with ID S0104,81327083,S0104@msba.com.sg,2194
S0105,Staff with ID S0105,93859921,S0105@msba.com.sg,4690
S0106,Staff with ID S0106,87206371,S0106@msba.com.sg,5469
S0107,Staff with ID S0107,92349471,S0107@msba.com.sg,5409
S0108,Staff with ID S0108,97898376,S0108@msba.com.sg,2841
S0109,Staff with ID S0109,84331707,S0109@msba.com.sg,5018
S0110,Staff with ID S0110,96234070,S0110@msba.com.sg,5247
S0111,Staff with ID S0111,93552506,S0111@msba.com.sg,5104
S0112,Staff with ID S0112,99170666,S0112@msba.com.sg,3084
